iter	Passed	Remaining
229	31325	36773
230	31467	36644
231	31609	36514
232	31761	36396
233	31906	36270
234	32035	36125
235	32174	35991
236	32324	35870
237	32457	35730
238	32592	35593
239	32727	35454
240	32853	35307
241	32998	35179
242	33133	35042
243	33271	34908
244	33407	34771
245	33548	34639
246	33677	34495
247	33813	34358
248	33967	34240
249	34104	34104
250	34234	33961
251	34372	33827
252	34498	33680
253	34640	33549
254	34787	33423
255	34911	33275
256	35061	33151
257	35198	33015
258	35327	32871
259	35453	32726
260	35581	32581
261	35729	32456
262	35861	32316
263	35999	32181
264	36128	32038
265	36263	31900
266	36413	31776
267	36551	31641
268	36677	31496
269	36823	31367
270	36964	31235
271	37105	31103
272	37244	30969
273	37368	30821
274	37495	30677
275	37636	30545
276	37770	30407
277	37902	30267
278	38036	30129
279	38173	29993
280	38298	29848
281	38433	29711
282	38562	29568
283	38697	29431
284	38841	29301
285	38979	29166
286	39118	29032
287	39254	28895
288	39388	28757
289	39530	28625
290	39673	28494
291	39810	28358
292	39945	28220
293	40076	28081
294	40208	27941
295	40338	27801
296	40473	27663
297	40604	27523
298	40745	27390
299	40892	27261
300	41033	27128
301	41185	27002
302	41329	26870
303	41470	26737
304	41599	26596
305	41731	26456
306	41871	26323
307	42017	26192
308	42166	26063
309	42300	25925
310	42433	25787
311	42568	25650
312	42710	25517
313	42851	25383
314	42991	25248
315	43125	25110
316	43258	24972
317	43382	24829
318	43520	24693
319	43651	24554
320	43783	24415
321	43931	24285
322	44065	24147
323	44189	24003
324	44312	23860
325	44433	23716
326	44571	23580
327	44702	23441
328	44841	23306
329	44984	23173
330	45128	23041
331	45274	22909
332	45403	22770
333	45538	22632
334	45670	22494
335	45809	22359
336	45933	22216
337	46051	22072
338	46192	21937
339	46314	21795
340	46447	21657
341	46585	21522
342	46716	21383
343	46863	21252
344	46998	21115
345	47128	20976
346	47266	20841
347	47409	20707
348	47547	20572
349	47671	20430
350	47805	20293
351	47928	20151
352	48077	20021
353	48230	19891
354	48359	19752
355	48493	19615
356	48629	19479
357	48780	19348
358	48932	19218
359	49095	19092
360	49244	18961
361	49381	18825
362	49516	18687
363	49643	18547
364	49791	18416
365	49920	18276
366	50066	18143
367	50213	18011
368	50346	17873
369	50480	17736
370	50619	17600
371	50766	17468
372	50896	17329
373	51028	17191
374	51165	17055
375	51318	16924
376	51467	16791
377	51606	16656
378	51749	16521
379	51890	16386
380	52027	16250
381	52159	16111
382	52304	15978
383	52446	15843
384	52581	15706
385	52734	15574
386	52875	15439
387	53014	15303
388	53147	15165
389	53291	15031
390	53433	14895
391	53571	14759
392	53697	14619
393	53843	14485
394	53971	14346
395	54115	14212
396	54252	14075
397	54392	13939
398	54528	13803
399	54672	13668
400	54801	13529
401	54952	13396
402	55101	13262
403	55238	13126
404	55377	12989
405	55502	12850
406	55635	12712
407	55761	12573
408	55895	12436
409	56035	12300
410	56172	12163
411	56316	12028
412	56447	11890
413	56574	11752
414	56717	11616
415	56864	11482
416	56999	11345
417	57148	11211
418	57302	11077
419	57433	10939
420	57577	10804
421	57718	10668
422	57859	10532
423	57996	10395
424	58135	10259
425	58269	10121
426	58412	9986
427	58550	9849
428	58680	9711
429	58825	9576
430	58959	9439
431	59099	9302
432	59247	9167
433	59382	9030
434	59517	8893
435	59652	8756
436	59797	8620
437	59925	8482
438	60057	8345
439	60199	8209
440	60342	8073
441	60475	7935
442	60601	7797
443	60746	7661
444	60895	7526
445	61036	7390
446	61164	7252
447	61312	7116
448	61451	6980
449	61601	6844
450	61745	6708
451	61881	6571
452	62001	6432
453	62126	6294
454	62263	6157
455	62394	6020
456	62514	5882
457	62659	5746
458	62798	5609
459	62927	5471
460	63068	5335
461	63194	5197
462	63336	5061
463	63474	4924
464	63609	4787
465	63760	4652
466	63897	4515
467	64033	4378
468	64160	4240
469	64301	4104
470	64435	3967
471	64570	3830
472	64712	3693
473	64841	3556
474	64971	3419
475	65101	3282
476	65248	3146
477	65390	3009
478	65521	2872
479	65652	2735
480	65791	2598
481	65924	2461
482	66053	2324
483	66183	2187
484	66321	2051
485	66450	1914
486	66583	1777
487	66723	1640
488	66856	1503
489	66983	1367
490	67119	1230
491	67261	1093
492	67394	956
493	67523	820
494	67664	683
495	67797	546
496	67937	410
497	68075	273
498	68209	136
499	68348	0
