iter	Accuracy	MultiClass
0	0.961906647	1.355097523
1	0.9619123844	1.105256757
2	0.9677501714	0.9314530662
3	0.9678333635	0.7998395976
4	0.9678591817	0.6969047122
5	0.9680485153	0.6139931072
6	0.9687771629	0.545144289
7	0.9716716725	0.4853361676
8	0.9718896931	0.4341437305
9	0.9766631956	0.3906921851
10	0.9767062259	0.3531341008
11	0.9766631956	0.3207545499
12	0.976789418	0.292094873
13	0.976789418	0.2672046117
14	0.9924811599	0.2436657863
15	0.9925786954	0.2236560932
16	0.9926877056	0.2049876297
17	0.9926877056	0.1863664286
18	0.9926790996	0.1719498594
19	0.9929458879	0.1574459586
20	0.9929458879	0.1443258929
21	0.9929458879	0.1329170622
22	0.9929458879	0.1235092376
23	0.9929458879	0.1143048591
24	0.9929458879	0.1057120844
25	0.9929458879	0.09824311238
26	0.9929458879	0.09188632093
27	0.9929458879	0.08544060671
28	0.9929573626	0.0799844562
29	0.9929573626	0.0749438802
30	0.9929573626	0.07031471926
31	0.9929573626	0.06630402838
32	0.9929573626	0.06264549413
33	0.9929573626	0.05946724358
34	0.9929573626	0.05628751601
35	0.9929573626	0.05384344547
36	0.9929573626	0.05117039923
37	0.9929573626	0.0489881146
38	0.9929659687	0.04674409836
39	0.993000393	0.04465802488
40	0.993037686	0.04277240963
41	0.993158171	0.04131871216
42	0.9933704542	0.04001881514
43	0.9935569191	0.03844676975
44	0.9936200304	0.03732388961
45	0.9935712626	0.0358911921
46	0.993622899	0.03480246124
47	0.9936429799	0.03365763226
48	0.9936343738	0.03263708093
49	0.9937692023	0.03155978136
50	0.9937634649	0.03048751173
51	0.9937749397	0.02972002959
52	0.9938064953	0.02900810948
53	0.9938208387	0.02844932843
54	0.9938294448	0.02771936055
55	0.9938265761	0.02696004611
56	0.9938265761	0.02637787457
57	0.9938294448	0.02582198321
58	0.9938351822	0.02533133204
59	0.993846657	0.02493178398
60	0.9938409196	0.02437251997
61	0.9938523944	0.02399120242
62	0.9938495257	0.02337501341
63	0.993855263	0.02283528846
64	0.9938638691	0.02249559472
65	0.9938782126	0.02205903162
66	0.9938753439	0.02170586226
67	0.9938868186	0.02140244002
68	0.9938868186	0.02111975963
69	0.9938868186	0.02074092118
70	0.9938868186	0.02039571926
71	0.9938868186	0.02009648062
72	0.99388395	0.0197343346
73	0.9938982934	0.01947061145
74	0.9938982934	0.01916291868
75	0.9938982934	0.01896029591
76	0.9938954247	0.01875282434
77	0.9938982934	0.01855182477
78	0.9939068995	0.01829972957
79	0.9939183743	0.01814514014
80	0.9939183743	0.01799003843
81	0.9939269803	0.01782874846
82	0.9939269803	0.01765197966
83	0.9939355864	0.0175114241
84	0.9939527986	0.01737638965
85	0.9939527986	0.01725174369
86	0.9939499299	0.01700414333
87	0.9939585359	0.01689497448
88	0.9939527986	0.01677800681
89	0.9939728794	0.01669134669
90	0.9939757481	0.01656139236
91	0.9939814855	0.01646725849
92	0.9939843542	0.01638678631
93	0.9939843542	0.01630910755
94	0.9939843542	0.01621218802
95	0.994004435	0.01615228288
96	0.9940159098	0.016003635
97	0.9940388593	0.01590421629
98	0.9940474654	0.01579261763
